Time,TESTZONE:WINTER DESIGN:Des Heat Load [W],TESTZONE:SUMMER DESIGN:Des Sens Cool Load [W],TESTZONE:WINTER DESIGN:Des Heat Mass Flow [kg/s],TESTZONE:SUMMER DESIGN:Des Cool Mass Flow [kg/s] 
00:10:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
00:20:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
00:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
00:40:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
00:50:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
01:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
01:10:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
01:20:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
01:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
01:40:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
01:50:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
02:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
02:10:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
02:20:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
02:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
02:40:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
02:50:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
03:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
03:10:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
03:20:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
03:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
03:40:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
03:50:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
04:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
04:10:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
04:20:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
04:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
04:40:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
04:50:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
05:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
05:10:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
05:20:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
05:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
05:40:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
05:50:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
06:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
06:10:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
06:20:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
06:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
06:40:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
06:50:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
07:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
07:10:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
07:20:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
07:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
07:40:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
07:50:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
08:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
08:10:00,8.782272E+02,7.863905E+02,2.115426E-02,4.515180E-02 
08:20:00,1.469918E+03,1.358057E+03,4.077049E-02,9.949553E-02 
08:30:00,2.164652E+03,1.977191E+03,6.348208E-02,1.600572E-01 
08:40:00,2.689095E+03,2.483423E+03,8.062196E-02,2.096518E-01 
08:50:00,3.197983E+03,2.983210E+03,9.725392E-02,2.586472E-01 
09:00:00,3.694213E+03,3.480684E+03,1.134734E-01,3.074270E-01 
09:10:00,3.218028E+03,3.260217E+03,1.054607E-01,3.177713E-01 
09:20:00,3.016477E+03,3.257619E+03,9.859748E-02,3.192335E-01 
09:30:00,2.702473E+03,3.210123E+03,8.833175E-02,3.147339E-01 
09:40:00,2.550463E+03,3.278340E+03,8.336683E-02,3.214815E-01 
09:50:00,2.406399E+03,3.356054E+03,7.866147E-02,3.291297E-01 
10:00:00,2.267894E+03,3.439313E+03,7.413670E-02,3.373110E-01 
10:10:00,2.216888E+03,3.457439E+03,7.247119E-02,3.391015E-01 
10:20:00,2.171446E+03,3.475826E+03,7.098718E-02,3.409163E-01 
10:30:00,2.129392E+03,3.495117E+03,6.961345E-02,3.428156E-01 
10:40:00,2.089902E+03,3.515125E+03,6.832315E-02,3.447811E-01 
10:50:00,2.052551E+03,3.535671E+03,6.710248E-02,3.467972E-01 
11:00:00,2.017082E+03,3.556648E+03,6.594314E-02,3.488548E-01 
11:10:00,1.983320E+03,3.577963E+03,6.483952E-02,3.509457E-01 
11:20:00,1.951136E+03,3.599646E+03,6.378743E-02,3.530725E-01 
11:30:00,1.920426E+03,3.621781E+03,6.278352E-02,3.552436E-01 
11:40:00,1.891114E+03,3.644475E+03,6.182526E-02,3.574695E-01 
